Sort	Applicant / License #	Proprietary Name	Proper Name	BLA STN#	Product #	Total Drug Content (Concentration)	Approval Date	Dosage Form/Route/Presentation	Discontinued Date
310	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	ROTATEQ	"ROTAVIRUS VACCINE LIVE, ORAL PENTAVALENT"	125122 / 0	1	2 ML ( 2 ML/TUBE )	02/03/2006	SOLUTION / ORAL / SINGLE-DOSE TUBE	
311	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	VAQTA	HEPATITIS A VACCINE INACTIVATED	103606 / 0	1	25 U/0.5 ML ( 50 U/ML )	03/29/1996	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
312	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	VAQTA	HEPATITIS A VACCINE INACTIVATED	103606 / 0	2	50 U/ML ( 50 U/ML )	03/29/1996	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
313	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	VARIVAX	VARICELLA VIRUS VACCINE LIVE	103552 / 0	1	NLT 1350 PF U ( NLT 1350 PF U/0.5 ML )	03/17/1995	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
314	MERCK AND CO INC DIV MERCK SHARP AND DOHME / 0002	ZOSTAVAX	ZOSTER VACCINE LIVE	125123 / 0	1	0.65 ML ( 0.65 ML/VIAL )	05/25/2006	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
315	NIELSEN BIOSCIENCES INC / 1903	SPHERUSOL	COCCIDIOIDES IMMITIS SPHERULE- DERIVED SKIN TEST ANTIGEN	125354 / 0	1	1.27 MCG/ML ( 1.27 MCG/ML )	07/29/2011	SOLUTION / INTRADERMAL / MULTI-DOSE VIAL	
316	NOVARTIS PHARMACEUTICALS CORP / 1244	KYMRIAH	TISAGENLECLEUCEL	125646 / 0	1	INFUSION BAG ( INFUSION BAG )	08/30/2017	SUSPENSION / INTRAVENOUS / PLASTIC CONTAINER	
317	NOVO NORDISK INC / 1261	ESPEROCT	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), GLYCOPEGYLATED- EXEI"	125671 / 0	1	500 IU ( 500 IU/VIAL )	02/19/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
318	NOVO NORDISK INC / 1261	ESPEROCT	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), GLYCOPEGYLATED- EXEI"	125671 / 0	2	1000 IU ( 1000 IU/VIAL )	02/19/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
319	NOVO NORDISK INC / 1261	ESPEROCT	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), GLYCOPEGYLATED- EXEI"	125671 / 0	3	1500 IU ( 1500 IU/VIAL )	02/19/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
320	NOVO NORDISK INC / 1261	ESPEROCT	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), GLYCOPEGYLATED- EXEI"	125671 / 0	4	2000 IU ( 2000 IU/VIAL )	02/19/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
321	NOVO NORDISK INC / 1261	ESPEROCT	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), GLYCOPEGYLATED- EXEI"	125671 / 0	5	3000 IU ( 3000 IU/VIAL )	02/19/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
322	NOVO NORDISK INC / 1261	NOVOEIGHT	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125466 / 0	1	250 IU ( 250 IU/VIAL )	10/15/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
323	NOVO NORDISK INC / 1261	NOVOEIGHT	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125466 / 0	2	500 IU ( 500 IU/VIAL )	10/15/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
324	NOVO NORDISK INC / 1261	NOVOEIGHT	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125466 / 0	3	1000 IU ( 1000 IU/VIAL )	10/15/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
325	NOVO NORDISK INC / 1261	NOVOEIGHT	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125466 / 0	4	1500 IU ( 1500 IU/VIAL )	10/15/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
326	NOVO NORDISK INC / 1261	NOVOEIGHT	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125466 / 0	5	2000 IU ( 2000 IU/VIAL )	10/15/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
327	NOVO NORDISK INC / 1261	NOVOEIGHT	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125466 / 0	6	3000 IU ( 3000 IU/VIAL )	10/15/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
328	NOVO NORDISK INC / 1261	NOVOSEVEN RT	COAGULATION FACTOR VIIA (RECOMBINANT)	103665 / 1	1	1 MG ( 1 MG/VIAL )	05/09/2008	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
329	NOVO NORDISK INC / 1261	NOVOSEVEN RT	COAGULATION FACTOR VIIA (RECOMBINANT)	103665 / 5605	2	2 MG ( 2 MG/VIAL )	05/09/2008	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
330	NOVO NORDISK INC / 1261	NOVOSEVEN RT	COAGULATION FACTOR VIIA (RECOMBINANT)	103665 / 5605	3	5 MG ( 5 MG/VIAL )	05/09/2008	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
331	NOVO NORDISK INC / 1261	NOVOSEVEN RT	COAGULATION FACTOR VIIA (RECOMBINANT)	103665 / 5605	4	8 MG ( 8 MG/VIAL )	08/06/2010	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
332	NOVO NORDISK INC / 1261	REBINYN	"COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED"	125611 / 0	1	500 IU ( 500 IU/VIAL )	05/31/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
333	NOVO NORDISK INC / 1261	REBINYN	"COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED"	125611 / 0	2	1000 IU ( 1000 IU/VIAL )	05/31/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
334	NOVO NORDISK INC / 1261	REBINYN	"COAGULATION FACTOR IX (RECOMBINANT), GLYCOPEGYLATED"	125611 / 0	3	2000 IU ( 2000 IU/VIAL )	05/31/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
335	NOVO NORDISK INC / 1261	TRETTEN	COAGULATION FACTOR XIII A-SUBUNIT (RECOMBINANT)	125398 / 0	1	2000 - 3125 IU ( 2000 - 3125 IU/VIAL )	12/23/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
336	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 20%	125154 / 0	4	10 GM/50 ML ( 20 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
337	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 20%	125154 / 0	5	20 GM/100 ML ( 20 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
338	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 25%	125154 / 0	6	12.5 GM/50 ML ( 25 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
339	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 25%	125154 / 0	7	25 GM/100 ML ( 25 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
340	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 5%	125154 / 0	1	5 GM/100 ML ( 5 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
341	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 5%	125154 / 0	2	12.5 GM/250 ML ( 5 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
342	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646		ALBUMIN (HUMAN) 5%	125154 / 0	3	25 GM/500 ML ( 5 GM/100 ML )	10/17/2006	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
343	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	CUTAQUIG	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN)-HIPP 16.5%	125668 / 0	1	1 GM/6 ML ( 0.165 GM/ML )	12/12/2018	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
344	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	CUTAQUIG	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN)-HIPP 16.5%	125668 / 0	2	1.65 GM/10 ML ( 0.165 GM/ML )	12/12/2018	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
345	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	CUTAQUIG	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN)-HIPP 16.5%	125668 / 0	3	2 GM/12 ML ( 0.165 GM/ML )	12/12/2018	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
346	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	CUTAQUIG	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN)-HIPP 16.5%	125668 / 0	4	3.3 GM/20 ML ( 0.165 GM/ML )	12/12/2018	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
347	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	CUTAQUIG	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN)-HIPP 16.5%	125668 / 0	5	4 GM/24 ML ( 0.165 GM/ML )	12/12/2018	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
348	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	CUTAQUIG	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN)-HIPP 16.5%	125668 / 0	6	8 GM/48 ML ( 0.165 GM/ML )	12/12/2018	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
349	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	FIBRYNA	FIBRINOGEN (HUMAN)	125612 / 0	1	1 GM ( 1 GM/BOTTLE )	06/07/2017	POWDER  / INTRAVENOUS / SINGLE-USE BOTTLE	
350	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 0	1	250 IU ( 250 IU/VIAL )	09/04/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
351	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 0	2	500 IU ( 500 IU/VIAL )	09/04/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
352	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 0	3	2000 IU ( 2000 IU/VIAL )	09/04/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
353	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 0	4	1000 IU ( 1000 IU/VIAL )	09/04/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
354	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 55	5	2500 IU ( 2500 IU/VIAL )	07/07/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
355	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 55	6	3000 IU ( 3000 IU/VIAL )	07/07/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
356	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	NUWIQ	ANTIHEMOPHILIC FACTOR (RECOMBINANT)	125555 / 55	7	4000 IU ( 4000 IU/VIAL )	07/07/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
357	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125062 / 0	6	2 GM/20 ML ( 10 GM/100 ML )	07/11/2014	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
358	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125062 / 0	7	5 GM/50 ML ( 10 GM/100 ML )	07/11/2014	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
359	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125062 / 0	8	10 GM/100 ML ( 10 GM/100 ML )	07/11/2014	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
360	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125062 / 0	9	20 GM/200 ML ( 10 GM/100 ML )	07/11/2014	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
361	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125062 / 572	10	30 GM/300 ML ( 10 GM/100 ML )	11/30/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
362	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125062 / 0	1	1 GM/20 ML ( 5 GM/100 ML )	05/21/2004	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
363	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125062 / 0	2	2.5 GM/50 ML ( 5 GM/100 ML )	05/21/2004	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
364	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125062 / 0	3	5 GM/100 ML ( 5 GM/100 ML )	05/21/2004	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
365	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125062 / 0	4	10 GM/200 ML ( 5 GM/100 ML )	05/21/2004	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
366	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAGAM	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125062 / 0	5	25 GM/500 ML ( 5 GM/100 ML )	05/21/2004	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
367	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	OCTAPLAS	"POOLED PLASMA (HUMAN), SOLVENT/DETERGENT TREATED"	125416 / 0	1	9000-14000 MG/200 ML ( 45-70 MG/ML )	01/17/2013	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
368	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	PANZYGA	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)-IFAS	125587 / 0	1	1 GM/10 ML ( 100 MG/ML )	08/02/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
369	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	PANZYGA	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)-IFAS	125587 / 0	2	2.5 GM/25 ML ( 100 MG/ML )	08/02/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
370	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	PANZYGA	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)-IFAS	125587 / 0	3	5 GM/50 ML ( 100 MG/ML )	08/02/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
371	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	PANZYGA	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)-IFAS	125587 / 0	4	10 GM/100 ML ( 100 MG/ML )	08/02/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
372	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	PANZYGA	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)-IFAS	125587 / 0	5	20 GM/200 ML ( 100 MG/ML )	08/02/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
373	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	PANZYGA	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)-IFAS	125587 / 0	6	30 GM/300 ML ( 100 MG/ML )	08/02/2018	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
374	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	WILATE	VON WILLEBRAND FACTOR/COAGULATION FACTOR VIII COMPLEX (HUMAN)	125251 / 22	1	500 IU/500 IU ( 500 IU/500 IU/VIAL )	12/04/2009	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
375	OCTAPHARMA PHARMAZEUTIKA PRODUKTIONS GESMBH / 1646	WILATE	VON WILLEBRAND FACTOR/COAGULATION FACTOR VIII COMPLEX (HUMAN)	125251 / 22	2	1000 IU/1000 IU ( 1000 IU/1000 IU/VIAL )	12/04/2009	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
376	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVICEL	FIBRIN SEALANT (HUMAN)	125010 / 0	1	1 ML ( 1 ML KIT )	03/21/2003	SOLUTION / TOPICAL / SINGLE-DOSE VIAL	
377	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVICEL	FIBRIN SEALANT (HUMAN)	125010 / 0	2	2 ML ( 2 ML KIT )	03/21/2003	SOLUTION / TOPICAL / SINGLE-DOSE VIAL	
378	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVICEL	FIBRIN SEALANT (HUMAN)	125010 / 0	3	5 ML ( 5 ML KIT )	03/21/2003	SOLUTION / TOPICAL / SINGLE-DOSE VIAL	
379	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVITHROM	"THROMBIN, TOPICAL (HUMAN)"	125247 / 0	1	"1600-2400 IU/2 ML ( 800-1,200 IU/ML )"	08/27/2007	SOLUTION / TOPICAL / SINGLE-DOSE VIAL	
380	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVITHROM	"THROMBIN, TOPICAL (HUMAN)"	125247 / 0	2	4000-6000 IU/5 ML ( 800-1200 IU/ML )	08/27/2007	SOLUTION / TOPICAL / SINGLE-DOSE VIAL	
381	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVITHROM	"THROMBIN, TOPICAL (HUMAN)"	125247 / 0	3	"16,000-24,000 IU/20 ML ( 800-1200 IU/ML )"	08/27/2007	SOLUTION / TOPICAL / SINGLE-DOSE VIAL	
382	OMRIX BIOPHARMACEUTICALS LTD / 1603	EVITHROM	"THROMBIN, TOPICAL (HUMAN)"	125247 / 89	4	1600-2400 IU ( 1600-2400 IU/VIAL )	09/17/2009	POWDER  / TOPICAL / SINGLE-DOSE VIAL	
383	ORGANON TEKNIKA CORP / 1747		BCG VACCINE	103050 / 0	1	100-800 MIL CFU ( 100-800 MIL CFU/VIAL )	06/21/1989	POWDER  / PERCUTANEOUS / SINGLE-DOSE VIAL	
384	ORGANON TEKNIKA CORP / 1747	TICE BCG	BCG LIVE	102821 / 0	1	100-800 MIL CFU ( 100-800 MIL CFU/VIAL )	06/21/1989	POWDER  / INTRAVESICAL / SINGLE-DOSE VIAL	
385	PAR PHARMACEUTICALS COMPANIES INC / 1997	APLISOL	"TUBERCULIN, PURIFIED PROTEIN DERIVATIVE"	103782 / 0	1	50 TU/ML ( 5 TU/0.1 ML )	04/20/1998	SOLUTION / INTRADERMAL / MULTI-DOSE VIAL	
386	PAR PHARMACEUTICALS COMPANIES INC / 1997	APLISOL	"TUBERCULIN, PURIFIED PROTEIN DERIVATIVE"	103782 / 0	2	250 TU/5 ML ( 5 TU/0.1 ML )	04/20/1998	SOLUTION / INTRADERMAL / MULTI-DOSE VIAL	
387	PAXVAX BERMUDA LTD / 2041	VAXCHORA	"CHOLERA VACCINE LIVE, ORAL"	125597 / 0	1	103 HGR ( 103 HGR/PACKET )	06/10/2016	POWDER  / ORAL / PACKET	
388	PAXVAX BERNA GMBH / 2015	VIVOTIF	TYPHOID VACCINE LIVE ORAL TY21A	103123 / 0	1	2.0Ð10.0x10E+9 CFU ( 2.0Ð10.0x10E+9 CFU )	12/15/1989		
389	PHARMACIA AND UPJOHN CO / 1216	ATGAM	"LYMPHOCYTE IMMUNE GLOBULIN, ANTI-THYMOCYTE GLOBULIN (EQUINE)"	103676 / 0	1	250 MG/5 ML ( 50 MG/ML )	12/04/1996	SOLUTION / INTRAVENOUS / AMPULE	
390	PHARMING AMERICAS BV / 2079	RUCONEST	C1 ESTERASE INHIBITOR (RECOMBINANT)	125495 / 0	1	2100 IU ( 2100 IU/VIAL )	07/16/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
391	PORTOLA PHARMACEUTICALS INC / 2017	ANDEXXA	"COAGULATION FACTOR XA (RECOMBINANT), INACTIVATED-ZHZO"	125586 / 0	1	100 MG ( 100 MG/VIAL )	05/03/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
392	PORTOLA PHARMACEUTICALS INC / 2017	ANDEXXA	"COAGULATION FACTOR XA (RECOMBINANT), INACTIVATED-ZHZO"	125586 / 27	2	200 MG ( 200 MG/VIAL )	12/31/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
393	PROTEIN SCIENCES CORP / 1795	FLUBLOK QUADRIVALENT	INFLUENZA VACCINE	125285 / 194	2	180 MCG HA/0.5 ML ( 180 MCG HA/0.5 ML )	10/07/2016	SOLUTION / INTRAMUSCULAR   / PREFILLED SYRINGE	
394	RARE DISEASE THERAPEUTICS INC / 1860	ANASCORP	CENTRUROIDES (SCORPION) IMMUNE F (AB') 2(EQUINE) INJECTION	125335 / 0	1	120MG ( 120MG/VIAL )	08/03/2011	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
395	RARE DISEASE THERAPEUTICS INC / 1860	ANAVIP	CROTALIDAE IMMUNE F(ABÕ)2 (EQUINE)	125488 / 0	1	120 MG ( 120 MG/VIAL )	05/06/2015	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
396	RECORDATI RARE DISEASES INC / 1899	PANHEMATIN	HEMIN FOR INJECTION	101246 / 0	1	350 MG ( 350 MG/VIAL )	07/20/1983	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
397	REVO BIOLOGICS INC / 1904	ATRYN	ANTITHROMBIN (RECOMBINANT)	125284 / 0	1	1750 IU ( 1750 IU/VIAL )	02/06/2009	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
398	REVO BIOLOGICS INC / 1904	ATRYN	ANTITHROMBIN (RECOMBINANT)	125284 / 134	2	525 IU ( 525 IU/VIAL )	04/11/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
399	SANOFI PASTEUR INC / 1725	DENGVAXIA	"DENGUE TETRAVALENT VACCINE, LIVE"	125682 / 0	1	0.5 ML ( 0.5 ML/VIAL )	05/01/2019	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
400	SANOFI PASTEUR INC / 1725	FLUZONE HIGH DOSE	INFLUENZA VIRUS VACCINE	103914 / 5240	1	180 MCG HA/0.5 ML ( 180 MCG HA/0.5ML )	12/23/2009	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
401	SANOFI PASTEUR INC / 1725	FLUZONE QUADRIVALENT	INFLUENZA VIRUS VACCINE	103914 / 5574	2	60 MCG HA/0.5 ML ( 60 MCG HA/0.5 ML )	06/07/2013	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
402	SANOFI PASTEUR INC / 1725	FLUZONE QUADRIVALENT	INFLUENZA VIRUS VACCINE	103914 / 5574	8	600 MCG HA/5 ML ( 60 MCG HA/0.5 ML )	06/07/2013	SUSPENSION / INTRAMUSCULAR   / MULTI-DOSE VIAL	
403	SANOFI PASTEUR INC / 1725	FLUZONE QUADRIVALENT	INFLUENZA VIRUS VACCINE	103914 / 5733	7	30 MCG HA/0.25 ML ( 30 MCG HA/0.25 ML )	12/11/2014	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
404	SANOFI PASTEUR INC / 1725	MENACTRA	"MENINGOCOCCAL (GROUPS A, C, Y, AND W135) POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE VACCINE"	125089 / 0	1	48 MCG/0.5ML ( 48 MCG/0.5ML )	01/14/2005	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
405	SANOFI PASTEUR INC / 1725	YF-VAX	YELLOW FEVER VACCINE	103915 / 0	1	"NLT 4.74 LOG10 PFU ( NLT 4.74 LOG10 PFU/0.5 ML)"	12/09/1999	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
406	SANOFI PASTEUR LTD / 1726		DIPHTHERIA & TETANUS TOXOIDS ADSORBED	103944 / 0	1	0.5 ML ( 0.5 ML/DOSE )	02/24/2000	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
407	SANOFI PASTEUR LTD / 1726	ADACEL	"TETANUS TOXOID & REDUCED DIPHTHERIA TOXOID & ACELLULAR PERTUSSIS VACCINE, ADSORBED"	125111 / 0	1	0.5 ML ( 0.5 ML/DOSE )	06/10/2005	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
408	SANOFI PASTEUR LTD / 1726	DAPTACEL	DIPHTHERIA & TETANUS TOXOIDS & ACELLULAR PERTUSSIS VACCINE	103666 / 0	1	0.5 ML/DOSE ( 0.5 ML/DOSE )	05/14/2002	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
