Application Number	Trade Name	Sponsor Name
200-185	GEN-GARD¨	Huvepharma EOOD
200-188	Betagenª Topical Spray	"Med-Pharmex, Inc."
200-189	Lincomycin Soluble	Huvepharma EOOD
200-190	GENTORAL¨	"Med-Pharmex, Inc."
200-191	Gentasol	"Med-Pharmex, Inc."
200-192	Sulfadimethoxine 12.5% Oral Solution	Huvepharma EOOD
200-193	Clindamycin Hydrochloride Oral Liquid	Cronus Pharma Specialities India Private Limited
200-196	Miconosol	"Med-Pharmex, Inc."
200-197	Streptomycin Oral Solution	Huvepharma EOOD
200-200	"Halothane, USP"	Halocarbon Products Corp.
200-202	Phoenectin¨	"Bayer HealthCare LLC, Animal Health Division"
200-204	Albac¨ / Bio-Cox¨	Zoetis Inc.
200-205	Albac¨ / Amprol Hi-E¨	Zoetis Inc.
200-210	Albac¨ / Sacox¨	Zoetis Inc.
200-212	Albac¨ / Robenz¨	Zoetis Inc.
200-213	Albac¨ / Deccox¨	Zoetis Inc.
200-218	Albac¨ / Coyden 25¨	Zoetis Inc.
200-219	"Ivermectin Pour-On for Cattle, Phoenectin¨, Phoenectinª, Phoenectinª Pour-On for Cattle"	Huvepharma EOOD
200-221	"Componentª TE-G, Componentª TE-G with Tylanª, Componentª TE-ID with Tylanª, Componentª TE-IS, Componentª TE-IS with Tylanª, Componentª TE-S, Componentª TE-S with Tylanª"	Elanco US Inc.
200-223	Albac¨ 50 Type A Medicated Article	Zoetis Inc.
200-224	"Component¨ T-H with Tylan¨, Component¨ T-S with Tylan¨"	Elanco US Inc.
200-225	Prohibitª Soluble Drench Powder	Huvepharma EOOD
200-226	Tricaine-S	Syndel USA
200-228	Phoenectin¨	Huvepharma EOOD
200-229	Tri-Otic¨ Ointment	"Med-Pharmex, Inc."
200-230	Guaifenesin Injection	"Bayer HealthCare LLC, Animal Health Division"
200-233	Linco Soluble	Zoetis Inc.
200-234	Tetrasol Soluble Powder	"Med-Pharmex, Inc."
200-235	Neosol Soluble Powder	"Med-Pharmex, Inc."
200-236	Chlortetracycline HCL Soluble Powder	"Quo Vademus, LLC"
200-237	"Isoflurane, USP"	Piramal Enterprises Ltd.
200-238	Sulfasol Soluble Powder	"Med-Pharmex, Inc."
200-239	Dolorex¨	"Intervet, Inc."
200-241	Lincosol Soluble Powder	"Med-Pharmex, Inc."
200-242	"BMD¨-25, -30, -40, -50, -60, or -75 / Aureomycin¨ -50, -70, -80, -90 or -100"	Zoetis Inc.
200-244	Tucoprim¨ Powder	Zoetis Inc.
200-245	Derma-Vet Cream	"Med-Pharmex, Inc."
200-246	Anthelban V	"Bayer HealthCare LLC, Animal Health Division"
200-247	Tetroxy¨ 343	Bimeda Animal Health Limited
200-248	"Pyrantel Pamoate Suspension, Pyrantel Pamoate Suspension-2.27mg, Pyrantel Pamoate Suspension-4.54mg"	Cronus Pharma Specialities India Private Limited
200-251	Sulforal¨	"Med-Pharmex, Inc."
200-253	ProstaMateª	Bimeda Animal Health Limited
200-254	"Iron Dextran Injection, Iron Dextran Injection 100mg"	Huvepharma EOOD
200-256	Iron Dextran Injection - 200	Huvepharma EOOD
200-257	Ketamine HCL	"Mylan Institutional, LLC"
200-258	Sulfadimethoxine Soluble Powder	Phibro Animal Health Corp.
200-261	Bio-Cox¨ / ChlorMaxª	Zoetis Inc.
200-262	ChlorMax¨ / Sacox¨	Zoetis Inc.
200-263	ChlorMaxª / Coban¨	Zoetis Inc.
200-265	"Prazi-C Tablets (OTC), Praziquantel Tablets (Rx)"	Cronus Pharma Specialities India Private Limited
200-266	Butequineª	"Vetoquinol USA, Inc."
200-270	Iverhartª Tablets	"Virbac AH, Inc."
200-271	Levamisole Phosphate	"Agri Laboratories, Ltd."
200-272	Noromectin¨ Pour-On for Cattle	"Norbrook Laboratories, Ltd."
200-273	Vetro-Genª Veterinary Ophthalmic Ointment	"Dechra, Ltd."
200-274	Lincomycin Injectable 30%	Zoetis Inc.
200-275	Medalone Cream	"Med-Pharmex, Inc."
200-280	Euthanasia-III Solution	"Med-Pharmex, Inc."
200-281	Pyrantel Pamoate Chewable Tablets	"Virbac AH, Inc."
200-282	Continuexª	"Farnam Companies, Inc."
200-283	Vetro-Max¨	"Fougera Pharmaceuticals, Inc."
200-286	Phoenectin¨ Paste 1.87%	"Bayer HealthCare LLC, Animal Health Division"
200-287	GBC Ointmentª	Cronus Pharma Specialities India Private Limited
200-289	Neosol-Oral	"Med-Pharmex, Inc."
200-291	Clinsol¨	"Virbac AH, Inc."
200-292	Iversol Liquid for Horses	"Med-Pharmex, Inc."
200-293	Furosemide Injection 5%	"Bayer HealthCare LLC, Animal Health Division"
200-295	Pennchlorª 64	Pharmgate LLC
200-297	Ivermectin Chewable Tablets	Cronus Pharma Specialities India Private Limited
200-298	Clindamycin Hydrochloride Capsules	Cronus Pharma Specialities India Private Limited
200-299	Iver-Onª	"Med-Pharmex, Inc."
200-301	Privasanª Antiseptic Ointment	"First Priority, Inc."
200-302	Iverhartª Plus Flavored Chewables	"Virbac AH, Inc."
200-303	Lincomycin Hydrochloride Soluble Powder	"Quo Vademus, LLC"
200-304	Pritox¨	"First Priority, Inc."
200-306	Oxytetracycline Injection 200	"Norbrook Laboratories, Ltd."
200-308	Flunixin Injection	"Norbrook Laboratories, Ltd."
200-310	estroPLANª Injection	Parnell Technologies Pty. Ltd.
200-312	Dexium¨	Bimeda Animal Health Limited
200-313	LevaMedª	Bimeda Animal Health Limited
200-314	Pennchlor S¨	Pharmgate LLC
200-315	"Lincomycin 100, Lincomycin 25, Lincomycin 300, Lincomycin Injection 100, Lincomycin Injection 25, Lincomycin Injection 300"	"Sparhawk Laboratories, Inc."
200-316	Clintabs¨	"Virbac AH, Inc."
200-317	Dexium-SPª	Bimeda Animal Health Limited
200-318	Bimectin¨ Pour-On	Bimeda Animal Health Limited
200-319	Acepromazine Maleate Injection	"Bayer HealthCare LLC, Animal Health Division"
200-320	Equell¨	"Virbac AH, Inc."
200-321	Primectinª Equine Oral Liquid	"First Priority, Inc."
200-322	Butorphanol Tartrate Injection	"Bayer HealthCare LLC, Animal Health Division"
200-323	Phenylbutazone Tablets	Hikma International Pharmaceuticals LLC (Exempt Company)
200-324	Dexamethasone Injection	"Sparhawk Laboratories, Inc."
200-326	Bimectin¨	Bimeda Animal Health Limited
200-327	Privermectinª Drench for Sheep	"First Priority, Inc."
200-328	Oxytocin Injection	Bimeda Animal Health Limited
200-330	Animax¨ Cream	"Fougera Pharmaceuticals, Inc."
200-332	Butorphicª Injection	"Akorn Animal Health, Inc."
200-333	Superiorbute¨	"Superior Equine Pharmaceuticals, Inc."
200-334	Equizone 100ª	"A & G Pharmaceuticals, Inc."
200-335	Ampicillin Sodium	G.C. Hanford Mfg. Co.
200-338	Tri-Heart Plus Chewable Tablets	Heska Corp.
200-340	Privermectin¨	"First Priority, Inc."
200-341	SparMectin-E	"Sparhawk Laboratories, Inc."
200-342	Pyrantel Pamoate Paste	"Farnam Companies, Inc."
200-343	Heifermaxª 500	Elanco US Inc.
200-344	"TiaGardª, Tiamulin Soluble Antibiotic"	Phibro Animal Health Corp.
200-345	Lincomycin - Spectinomycin	Phibro Animal Health Corp.
200-346	"Componentª TE-200 with Tylanª, Componentª TE-H with Tylanª, Componentª TE-IH with Tylanª"	Elanco US Inc.
200-347	Penicillin G Potassium USP	"Quo Vademus, LLC"
200-348	Ecomectin	"Sparhawk Laboratories, Inc."
200-350	Exodusª Paste	Bimeda Animal Health Limited
200-351	"Lincomycin Injectable, USP"	Huvepharma EOOD
200-352	"Primex¨ 2-X, Primex¨ Canine"	"First Priority, Inc."
200-353	Primexª Equine	"First Priority, Inc."
200-354	Pennchlorª / Coban¨	Pharmgate LLC
200-356	Pennchlorª / Denagard¨	Pharmgate LLC
200-357	Pennchlor¨ / Bio-Cox¨	Pharmgate LLC
200-358	BMD¨ Pennchlor¨	Pharmgate LLC
200-359	Pennchlor¨ / Deccox¨	Pharmgate LLC
200-360	"Tiagardª, Tiamulin Liquid Concentrate"	"Bayer HealthCare LLC, Animal Health Division"
200-361	Acepromazine Maleate Injection	"Boehringer Ingelheim Vetmedica, Inc."
200-362	Priconazoleª Lotion 1% and Spray 1%	"First Priority, Inc."
200-364	Spectogard Scour-Chekª	Bimeda Animal Health Limited
200-365	"Glycopyrrolate Injectable, Robinul¨-V"	Cronus Pharma Specialities India Private Limited
200-366	"Carprofen Caplets, Novox¨ Caplets"	"Putney, Inc."
200-367	"Synovex¨ T120, Synovex¨ T40, Synovex¨ T80"	Zoetis Inc.
200-368	"LincoMedª 100, LincoMed¨ 300"	Bimeda Animal Health Limited
200-371	Phenylbutazone 20% Injection	"Sparhawk Laboratories, Inc."
200-372	Han-Penª	G.C. Hanford Mfg. Co.
200-373	Furosemide Syrup 1%	"First Priority, Inc."
200-374	TetraMed¨ 324 HCA	Bimeda Animal Health Limited
200-375	HeifermaXª 500 / Rumensinª / Tylanª	Elanco US Inc.
200-376	Sulfamed-G¨	Bimeda Animal Health Limited
200-377	LinxMed-SP¨	Bimeda Animal Health Limited
200-378	Neomycin Sulfate 325	"Sparhawk Laboratories, Inc."
200-379	Neomycin Liquid	"Sparhawk Laboratories, Inc."
200-380	SpecLinx-50¨	Bimeda Animal Health Limited
200-382	Furosemide Syrup 1%	Cronus Pharma Specialities India Private Limited
200-386	LevaMedª Soluble Drench Powder	Bimeda Animal Health Limited
200-387	Flunazineª	Bimeda Animal Health Limited
200-388	GB Topical Spray	"American Pharmaceuticals and Cosmetics, Inc."
200-389	Amprolium 9.6% Oral Solution	Huvepharma EOOD
200-390	Ivermectin Paste 1.87 %	"Med-Pharmex, Inc."
200-391	Griseofulvin Powder	Bimeda Animal Health Limited
200-394	Gentamicin Piglet Injection	"Sparhawk Laboratories, Inc."
200-395	Gentamicin Sulfate Solution	"Sparhawk Laboratories, Inc."
200-397	Vetprofenª	"Belcher Pharmaceuticals, Inc."
200-398	Clindamycin Hydrochloride Oral Drops	"First Priority, Inc."
200-407	Lincomycin-Spectinomycin Water Soluble Powder	Huvepharma EOOD
200-408	Butorphanol Tartrate Injection	"Bayer HealthCare LLC, Animal Health Division"
200-414	Formacide-B	"B.L. Mitchell, Inc."
200-415	Gentamicin Sulfate Topical Spray	"First Priority, Inc."
200-416	Gentamicin Topical Spray	"Sparhawk Laboratories, Inc."
200-418	Muricinª	"Fougera Pharmaceuticals, Inc."
200-420	Ceftiofur Sodium Sterile Powder	"Cephazone Pharma, LLC"
200-422	Heifermax 500 Liquid Premix and Rumensin¨	Elanco US Inc.
200-424	Heifermaxª /  Optaflexx¨  /  Rumensin¨ / Tylan¨	Elanco US Inc.
200-425	Nitrofurazone Soluble Dressing	"First Priority, Inc."
200-427	Heifermaxª 500 Liquid Premix and Tylan¨	Elanco US Inc.
200-429	Ivermectin Injection	"Sparhawk Laboratories, Inc."
200-430	HeifermaX¨ 500 plus Bovatec¨ and Tylanª	Elanco US Inc.
200-432	NexHAª	"Vetoquinol USA, Inc."
200-433	Pributazone¨	"First Priority, Inc."
200-434	SMZ-Med¨ 454	Bimeda Animal Health Limited
200-436	Normectin¨ Plus	"Norbrook Laboratories, Ltd."
200-437	Noromectin¨	"Norbrook Laboratories, Ltd."
200-438	Petrem¨	"Piramal Critical Care, Inc."
200-441	Aureomycin¨	Huvepharma EOOD
200-443	Sulfadimethoxine Soluble Powder	"First Priority, Inc."
200-445	Primex¨	"First Priority, Inc."
200-447	Bimectin¨ Injection for Cattle and Swine	Bimeda Animal Health Limited
200-448	Heifermax 500¨/Optaflexx¨/Rumensin¨	Elanco US Inc.
200-451	HeifermaX¨ 500 plus Bovatec¨	Elanco US Inc.
200-452	Oxytet 100	"Norbrook Laboratories, Ltd."
200-455	BiloVetª	Bimeda Animal Health Limited
200-456	Dexamethasone Solution	"Med-Pharmex, Inc."
200-457	"Mupirocin Ointment USP, 2%"	"Taro Pharmaceuticals U.S.A., Inc."
200-460	Tetroxy¨ Aquatic	Bimeda Animal Health Limited
200-463	Amprolium-P 9.6% Oral Solution	Huvepharma EOOD
200-464	AMPROMEDª For Cattle	Bimeda Animal Health Limited
200-466	SparMectin Plus Clorsulon	"Sparhawk Laboratories, Inc."
200-467	Sevoflurane	Halocarbon Products Corp.
200-468	GentaMedª-P for Poultry Injection	Bimeda Animal Health Limited
200-472	Fomepizole for Injection	"Mylan Institutional, LLC"
200-473	Tylovet¨ Soluble	Huvepharma EOOD
200-476	Flunixin Injection - S	"Norbrook Laboratories, Ltd."
200-478	Albac¨ 50 plus Nicarb¨	Zoetis Inc.
200-479	Heifermax¨ 500/Zilmax¨/Rumensin¨	Elanco US Inc.
200-480	Heifermax¨ 500/Zilmax¨/Rumensin¨/Tylan¨	Elanco US Inc.
200-481	OvaMed¨	Bimeda Animal Health Limited
200-482	AmproMedª for Calves	Bimeda Animal Health Limited
200-483	Heifermax¨ 500 plus Zilmax¨	Elanco US Inc.
200-484	Tylovet¨ 40	Huvepharma EOOD
200-485	Meloxicam Injection	"Accord Healthcare, Inc."
200-488	Ampromedª P for Poultry	Bimeda Animal Health Limited
200-489	Flunazine¨-S	Bimeda Animal Health Limited
200-490	Carprofen	Dragon Fire Holding Co. Inc.
200-491	Loxicom¨	"Norbrook Laboratories, Ltd."
200-494	GentaMedª 	Bimeda Animal Health Limited
200-495	Enroflox¨ 100	"Norbrook Laboratories, Ltd."
200-496	AmproMedª P for Poultry	Bimeda Animal Health Limited
200-497	Loxicom¨	"Norbrook Laboratories, Ltd."
200-498	Carprieve¨ Caplets	"Norbrook Laboratories, Ltd."
200-501	Praziquantel Injection	Bimeda Animal Health Limited
200-508	BiloVetª	Bimeda Animal Health Limited
200-509	Tilmovet¨ 90	Huvepharma EOOD
200-510	"Deracin¨ 100 Meal, Deracin¨ 50 Meal, Deracin¨ 90 Meal"	Pharmgate LLC
200-512	Triamuloxª	Zoetis Inc.
200-513	Enrofloxª Injection for Dogs 2.27%	"Norbrook Laboratories, Ltd."
200-514	Boviprolª 9.6% Oral Solution	Phibro Animal Health Corp.
200-517	Zobuxaª	Elanco US Inc.
200-519	Florvioª 2.3% Concentrate Solution	Elanco US Inc.
200-520	Carprieve¨ Injection	"Norbrook Laboratories, Ltd."
200-522	Carprofen Sterile Injectable Solution	"Putney, Inc."
200-523	SulfaMedª	Bimeda Animal Health Limited
200-527	Enrofloxacin Antibacterial Injectable Solution	"Putney, Inc."
200-529	XylaMedª	Bimeda Animal Health Limited
200-530	Paylean¨ plus Tylovet¨	Huvepharma EOOD
200-531	Rumensin¨ plus Tylovet¨ 100	Huvepharma EOOD
200-532	MGA¨ plus Tylovet¨ 100	Huvepharma EOOD
200-533	"Deccox¨, Rumensinª, and Tylovet¨ 100"	Huvepharma EOOD
200-534	"MGA¨, Rumensinª and Tylovet¨ 100"	Huvepharma EOOD
200-535	MGA¨/ Bovatec¨/ Tylovet¨ 100	Huvepharma EOOD
200-536	Mometavet¨	"Med-Pharmex, Inc."
200-538	ClindaMedª Oral Drops	Bimeda Animal Health Limited
200-540	Meloxicam Solution for Injection	"Putney, Inc."
200-541	Gonabreedª	Parnell Technologies Pty. Ltd.
200-542	Engainª 9 and Engainª 45	Zoetis Inc.
200-543	Cefpodoxime Proxetil Tablets	"Putney, Inc."
200-544	Zilmax¨/Rumensin¨/Tylovet¨ 100/MGA¨	Huvepharma EOOD
200-547	Zilmax¨/Rumensin¨/Tylovet¨ 100	Huvepharma EOOD
200-548	Actogainª 45	Zoetis Inc.
200-550	Meloxidyl¨	Ceva Sante Animale
200-551	Enrofloxacin Flavored Tablets	"Putney, Inc."
200-553	"Neomycin and Polymyxin B Sulfates, and Bacitracin Zinc Ophthalmic Ointment"	"Akorn Animal Health, Inc."
200-555	quellin¨	"Bayer HealthCare LLC, Animal Health Division"
200-557	Tiletamine-Zolazepam	"Putney, Inc."
200-558	Engainª plus Tylan¨	Zoetis Inc.
200-559	Actogainª 45 plus Rumensin¨	Zoetis Inc.
200-560	Actogainª 45/Rumensin¨/MGA¨	Zoetis Inc.
200-561	Actogainª 45/Rumensin¨/Tylan¨	Zoetis Inc.
200-562	Actogainª 45/Rumensin¨/Tylan¨/MGA¨	Zoetis Inc.
200-563	Eprizero¨	"Norbrook Laboratories, Ltd."
200-564	Ivermectin Paste 1.87%	"Merial, Inc."
200-565	"Thiabendazole, Dexamethasone, Neomycin Sulfate Solution"	"Putney, Inc."
200-566	Optaflexxª 45/Rumensin¨/Tylovet¨ 100	Huvepharma EOOD
200-567	Optaflexxª 45/Rumensin¨/Tylovet¨ 100/MGA¨	Huvepharma EOOD
200-573	Dexmedetomidine HCl	"Putney, Inc."
200-575	Carprofen Chewable Tablets	"Putney, Inc."
200-576	Gentamicin Sulfate Ophthalmic Solution	"Akorn Animal Health, Inc."
200-578	Carprofen Flavored Tablets	"Belcher Pharmaceuticals, Inc."
200-579	ChronoMateª	Ceva Sante Animale
200-581	Flunazine¨	Bimeda Animal Health Limited
200-582	Loncorª 300	"Bayer HealthCare LLC, Animal Health Division"
200-583	Actogainª 45/Rumensin¨/Tylovet¨ 100/MGA¨	Zoetis Inc.
200-584	Engainª plus Tylovet¨ 100	Zoetis Inc.
200-585	Actogainª 45/Rumensin¨/Tylovet¨ 100	Zoetis Inc.
200-587	FerroForte¨	Ceva Sante Animale
200-589	FLORCON	"Med-Pharmex, Inc."
200-591	Norfenicol¨	"Norbrook Laboratories, Ltd."
200-592	Amoxicillin Trihydrate and Clavulanate Potassium Tablets	"Putney, Inc."
200-593	Carprofen Injection	"Accord Healthcare, Inc."
200-595	Carprieve¨ Chewable Tablets	"Norbrook Laboratories, Ltd."
200-596	Tilmovet¨ 90 and Rumensin¨ 90	Huvepharma EOOD
200-600	WormX¨	SergeantÕs Pet Care Products Inc.
200-608	Baytril¨ Soft Chewable Tablets	"Bayer HealthCare LLC, Animal Health Division"
200-609	DIROBANª	"Anzac Animal Health, LLC"
200-610	Medetomidine Hydrochloride	"Modern Veterinary Therapeutics, LLC"
200-617	Deracin¨ plus Bovatec¨	Pharmgate LLC
200-618	Zoletil¨ for Injection	"Virbac AH, Inc."
200-620	Altren¨	"Aurora Pharmaceutical, LLC"
200-621	SwineMate¨	"Aurora Pharmaceutical, LLC"
200-622	Deccox¨ plus Deracin¨	Pharmgate LLC
200-624	REVERTIDINEª	"Modern Veterinary Therapeutics, LLC"
200-630	CocciAidª	"Aurora Pharmaceutical, LLC"
